lon,lat,checkin_num
103.92247,30.57338,1
103.93371,30.57888,2
103.93744,30.57286,2
103.95441,30.56455,1
103.91912,30.5931,1
103.92245,30.57429,1
103.9207468,30.57476224,1
103.91924,30.57523,1
103.924857,30.560539,8
103.93361,30.55817,1
103.93286,30.5544,2
103.93363,30.57291,2
103.93169,30.5727,1
103.9163,30.59263,1
103.91501,30.57043,1
103.95796,30.56578,2
103.91882,30.5802,1
103.92993,30.56655,1
103.95738,30.56485,1
103.95216,30.56397,1
103.91981,30.56813,1
103.92723,30.57202,1
103.93005,30.57614,1
103.92041,30.56665,1
103.91802,30.59401,3
103.92671,30.57609,1
103.95454,30.56601,1
103.92267,30.55362,1
103.92992,30.56005,1
103.921642,30.567655,11
103.95753,30.56488,3
103.9226775,30.57583567,2
103.92826,30.57037,1
103.9597,30.55685,1
103.95956,30.5629,4
103.91537,30.59264,5
103.95456,30.56628,1
103.94837,30.54879,2
103.92208,30.55737,2
103.91551,30.5805,1
103.91477,30.59495,3
103.9213,30.56319,1
103.91766,30.55535,2
103.930232,30.571578,1
103.951873,30.563419,32
103.914466,30.593605,51
103.9183,30.55541,1
103.9206,30.57295,1
103.921585,30.589841,1
103.922424,30.561891,1
103.920608,30.572717,24
103.924774,30.562744,5
103.94976,30.566392,23
103.9283853,30.56876761,2
103.9308575,30.57614246,1
103.9394674,30.5494173,2
103.92852,30.56287,45
103.920257,30.569504,3
103.936912,30.581441,15
103.923712,30.574376,1
103.915992,30.555795,37
103.921393,30.567765,1
103.92159,30.57458,1
103.92398,30.56954,1
103.917243,30.568593,1
103.921459,30.562732,1
103.92217,30.5764,18
103.955212,30.566717,9
103.921211,30.572925,2
103.934806,30.573917,2
103.943024,30.57427,2
103.918563,30.572639,1
103.927162,30.580429,1
103.921028,30.583896,1
103.915657,30.58031,1
103.928153,30.569091,1
103.930152,30.559715,1
103.941,30.5794,1
103.92913,30.572746,4
103.923713,30.574181,1
103.923713,30.574181,1
103.923713,30.574181,3
103.958099,30.562057,2
103.923408,30.571435,18
103.922819,30.577189,6
103.921,30.5699,2
103.924926,30.563695,1
103.931442,30.589326,1
103.92479,30.57167,2
103.93313,30.5678,2
103.91531,30.58845,1
103.91561,30.57053,1
103.93524,30.5776,6
103.92003,30.57336,2
103.92506,30.57599,3
103.92203,30.56842,1
103.91828,30.56265,6
103.92374,30.57932,4
103.9258,30.56321,1
103.93207,30.57078,1
103.92081,30.566,2
103.91924,30.57835,2
103.92582,30.56175,16
103.93052,30.57852,1
103.925,30.57623,1
103.9232,30.57149,1
103.92546,30.56252,8
103.92186,30.5802,3
103.92144,30.56747,1
103.93046,30.56017,1
103.91467,30.57941,6
103.91776,30.57731,1
103.9262,30.57265,1
103.92771,30.57529,1
103.91801,30.5748,3
103.92977,30.57742,57
103.92544,30.57489,1
103.91651,30.57948,1
103.91766,30.57975,1
103.91665,30.57854,1
